date,new_cases
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,98.0
2020-01-24,286.0
2020-01-25,492.0
2020-01-26,685.0
2020-01-27,809.0
2020-01-28,2651.0
2020-01-29,589.0
2020-01-30,2068.0
2020-01-31,1692.0
2020-02-01,2111.0
2020-02-02,4749.0
2020-02-03,3100.0
2020-02-04,4011.0
2020-02-05,3745.0
2020-02-06,3160.0
2020-02-07,3593.0
2020-02-08,2734.0
2020-02-09,3030.0
2020-02-10,2609.0
2020-02-11,2042.0
2020-02-12,418.0
2020-02-13,15153.0
2020-02-14,6527.0
2020-02-15,2143.0
2020-02-16,2183.0
2020-02-17,2035.0
2020-02-18,1882.0
2020-02-19,500.0
2020-02-20,560.0
2020-02-21,629.0
2020-02-22,1761.0
2020-02-23,380.0
2020-02-24,564.0
2020-02-25,854.0
2020-02-26,977.0
2020-02-27,1360.0
2020-02-28,1386.0
2020-02-29,1891.0
2020-03-01,2382.0
2020-03-02,1986.0
2020-03-03,2596.0
2020-03-04,2310.0
2020-03-05,2811.0
2020-03-06,3915.0
2020-03-07,4094.0
2020-03-08,3949.0
2020-03-09,4173.0
2020-03-10,4824.0
2020-03-11,7667.0
2020-03-12,5795.0
2020-03-13,14380.0
2020-03-14,11092.0
2020-03-15,11275.0
2020-03-16,14799.0
2020-03-17,15962.0
2020-03-18,19586.0
2020-03-19,27095.0
2020-03-20,30886.0
2020-03-21,32135.0
2020-03-22,35055.0
2020-03-23,42771.0
2020-03-24,41062.0
2020-03-25,51038.0
2020-03-26,62953.0
2020-03-27,65100.0
2020-03-28,67222.0
2020-03-29,59463.0
2020-03-30,65282.0
2020-03-31,76841.0
2020-04-01,83083.0
2020-04-02,83018.0
2020-04-03,83758.0
2020-04-04,59165.0
2020-04-05,71401.0
2020-04-06,73391.0
2020-04-07,69869.0
2020-04-08,83393.0
2020-04-09,86887.0
2020-04-10,85393.0
2020-04-11,74314.0
2020-04-12,119931.0
2020-04-13,70994.0
2020-04-14,84275.0
2020-04-15,77602.0
2020-04-16,95485.0
2020-04-17,88114.0
2020-04-18,77155.0
2020-04-19,76962.0
2020-04-20,75550.0
2020-04-21,75757.0
2020-04-22,81345.0
2020-04-23,84324.0
2020-04-24,84173.0
2020-04-25,82354.0
2020-04-26,71345.0
2020-04-27,70240.0
2020-04-28,75680.0
2020-04-29,77180.0
2020-04-30,83543.0
2020-05-01,88304.0
2020-05-02,79089.0
2020-05-03,74979.0
2020-05-04,77779.0
2020-05-05,80598.0
2020-05-06,90161.0
2020-05-07,88660.0
2020-05-08,90136.0
2020-05-09,85179.0
2020-05-10,74832.0
2020-05-11,76635.0
2020-05-12,84512.0
2020-05-13,85080.0
2020-05-14,96138.0
2020-05-15,95803.0
2020-05-16,94348.0
2020-05-17,78042.0
2020-05-18,89128.0
2020-05-19,96815.0
2020-05-20,102129.0
2020-05-21,106642.0
2020-05-22,106373.0
2020-05-23,104597.0
2020-05-24,94192.0
2020-05-25,86641.0
2020-05-26,93814.0
2020-05-27,102743.0
