,rmse,mae,mape
"((3, 0, 12), (4, 1, 0, 7))",30234.239768976826,23848.43352387727,4.063712628653886
"((6, 2, 3), (0, 1, 0, 7))",30234.2954862197,23848.562790028485,4.06372815800354
"((6, 0, 4), (2, 0, 2, 7))",30234.332112803088,23848.647744296035,4.063738363958563
"((4, 2, 1), (0, 0, 2, 7))",30234.344020508626,23848.675360308604,4.063741681599811
"((10, 0, 3), (0, 0, 1, 7))",30234.36354126314,23848.7206285155,4.06374711988204
"((4, 0, 6), (2, 0, 0, 7))",30234.384401613494,23848.768998037565,4.063752930739821
"((5, 1, 9), (2, 1, 0, 7))",30234.424793141836,23848.862639886655,4.063764180374803
"((1, 0, 5), (5, 0, 0, 7))",30234.525321493897,23849.095613185564,4.063792168551015
"((2, 0, 1), (5, 0, 0, 7))",30234.563700095812,23849.18452245395,4.063802849638858
"((4, 2, 6), (3, 1, 0, 7))",30234.5862541504,23849.236763576704,4.063809125610208
"((5, 2, 0), (2, 1, 2, 7))",30234.61305550045,23849.298834449877,4.063816582475625
"((3, 2, 0), (4, 1, 0, 7))",30234.6338507152,23849.346989288948,4.063822367542532
"((6, 2, 0), (4, 0, 0, 7))",30234.6569768322,23849.400535509256,4.063828800301376
"((5, 1, 9), (1, 1, 0, 7))",30234.749990121905,23849.615832441137,4.063854664932628
"((1, 1, 9), (4, 1, 0, 7))",30234.849417191246,23849.845858383767,4.0638822990290935
"((4, 0, 0), (2, 0, 0, 7))",30235.060346737693,23850.333447793684,4.063940875434147
"((0, 0, 12), (4, 1, 0, 7))",30235.066217450396,23850.347010916586,4.063942504835781
"((1, 0, 6), (3, 0, 1, 7))",30235.08901323099,23850.39967209585,4.0639488312704914
"((3, 1, 5), (3, 0, 1, 7))",30235.127672554798,23850.488965659613,4.063959558525541
"((5, 0, 0), (5, 0, 0, 7))",30235.138001204512,23850.512819235795,4.0639624241676415
"((7, 0, 10), (0, 0, 0, 0))",30235.146335784004,23850.532066647265,4.063964736449548
"((7, 0, 10), (0, 0, 0, 7))",30235.146335784004,23850.532066647265,4.063964736449548
"((5, 0, 11), (3, 1, 0, 7))",30235.192807413005,23850.63937016619,4.063977627325068
"((10, 2, 1), (0, 0, 2, 7))",30235.20326893603,23850.663522327395,4.063980528837588
"((7, 2, 8), (0, 0, 0, 0))",30235.204474628914,23850.666305784074,4.063980863227308
"((7, 2, 8), (0, 0, 0, 7))",30235.204474628914,23850.666305784074,4.063980863227308
"((6, 1, 2), (4, 0, 2, 7))",30235.23688366331,23850.7411185148,4.063989850831897
"((4, 0, 6), (4, 1, 0, 7))",30235.25814731798,23850.79019642904,4.063995746792156
"((5, 2, 4), (2, 0, 0, 7))",30235.27240422994,23850.823099250687,4.063999699562601
"((6, 2, 11), (5, 0, 0, 7))",30235.29276044169,23850.870074075297,4.064005342868829
"((5, 1, 6), (3, 0, 2, 7))",30235.299312476283,23850.88519274957,4.0640071591461515
"((2, 0, 2), (3, 0, 1, 7))",30235.448729704287,23851.229828641066,4.06404856187387
"((0, 0, 8), (0, 1, 0, 7))",30235.449410041667,23851.231397244737,4.064048750317593
"((6, 0, 5), (1, 1, 0, 7))",30235.453588961722,23851.241032149464,4.064049907803933
"((0, 1, 10), (0, 1, 0, 7))",30235.53219720939,23851.422231769826,4.064071676165064
"((1, 1, 11), (1, 1, 0, 7))",30235.634590526835,23851.658146453632,4.064100017703654
"((2, 1, 9), (4, 1, 0, 7))",30235.63633369784,23851.662161633572,4.064100500066071
"((4, 0, 8), (3, 1, 0, 7))",30235.66508492983,23851.728381277844,4.064108455342841
"((6, 1, 6), (1, 1, 0, 7))",30235.669350304946,23851.73820441299,4.064109635442185
"((6, 2, 10), (0, 0, 0, 0))",30235.70038971996,23851.80968141542,4.064118222310073
"((6, 2, 10), (0, 0, 0, 7))",30235.70038971996,23851.80968141542,4.064118222310073
"((6, 1, 2), (3, 0, 2, 7))",30235.720478556974,23851.855935443302,4.064123779023606
"((5, 1, 6), (0, 1, 0, 7))",30235.848037689266,23852.149523797056,4.0641590491709465
"((4, 2, 6), (2, 0, 1, 7))",30235.875915101624,23852.213660035988,4.06416675415845
"((3, 2, 5), (1, 0, 1, 7))",30235.918727709326,23852.312138807076,4.064178584875579
"((4, 2, 12), (5, 0, 0, 7))",30236.030154868782,23852.56834366704,4.064209363968295
"((4, 2, 10), (4, 1, 0, 7))",30236.107983760565,23852.747207706336,4.064230851745106
"((4, 2, 6), (4, 0, 1, 7))",30236.126815814423,23852.79047608239,4.064236049778266
"((2, 1, 4), (2, 0, 1, 7))",30236.18613562783,23852.926741101717,4.064252419934806
"((1, 1, 11), (4, 1, 0, 7))",30236.234247311117,23853.03722877397,4.064265693337615
"((0, 1, 3), (1, 0, 0, 7))",30236.337740963543,23853.274806594276,4.0642942346766
"((3, 2, 6), (5, 0, 0, 7))",30236.34173873413,23853.283981229295,4.0642953368685815
"((3, 0, 6), (5, 0, 1, 7))",30236.429361223098,23853.485021585577,4.06431948879047
"((4, 1, 8), (3, 1, 0, 7))",30236.536128724103,23853.729864633868,4.064348902935403
"((1, 2, 0), (2, 1, 2, 7))",30236.605563517336,23853.889022296014,4.064368023292606
"((1, 1, 0), (1, 1, 0, 7))",30236.636649495205,23853.96025868475,4.06437658125444
"((2, 0, 6), (1, 0, 0, 7))",30236.78079055174,23854.29042152206,4.064416245266208
"((3, 2, 8), (4, 0, 0, 7))",30236.89157369643,23854.544009128796,4.064446709936004
"((3, 1, 10), (0, 1, 0, 7))",30236.922696445712,23854.61522440402,4.064455265361374
"((1, 0, 6), (2, 0, 2, 7))",30236.926708443854,23854.62440385162,4.064456368131512
"((0, 2, 9), (1, 1, 0, 7))",30237.223754725364,23855.303518269724,4.064537953335014
"((3, 0, 0), (4, 0, 1, 7))",30237.230722601445,23855.319435929785,4.064539865598251
"((5, 2, 0), (0, 1, 1, 7))",30237.278099250118,23855.42764967926,4.064552865824042
"((2, 0, 6), (2, 0, 0, 7))",30237.299160392642,23855.475747302222,4.064558644017307
"((5, 1, 4), (2, 0, 0, 7))",30237.33034347916,23855.546950986834,4.064567198050242
"((6, 0, 8), (0, 1, 0, 7))",30237.387967576087,23855.67850024597,4.064583001680369
"((6, 0, 3), (4, 0, 2, 7))",30237.390596211182,23855.68450019227,4.064583722482087
"((5, 2, 6), (3, 0, 0, 7))",30237.42204947149,23855.756287013824,4.064592346570002
"((6, 0, 1), (2, 0, 0, 7))",30237.425014224722,23855.763052970786,4.0645931593961775
"((2, 1, 5), (3, 0, 1, 7))",30237.449019112573,23855.81783149099,4.064599740196996
"((4, 2, 12), (2, 0, 0, 7))",30237.490934798443,23855.91346579978,4.064611229195516
"((6, 2, 6), (1, 1, 1, 7))",30237.537081698374,23856.018730211956,4.064623875103569
"((3, 0, 4), (4, 0, 2, 7))",30237.60577611734,23856.175381013596,4.064642694299849
"((2, 0, 3), (5, 0, 1, 7))",30237.65104663853,23856.278585798667,4.064655092775228
"((2, 1, 5), (4, 0, 2, 7))",30237.823683644685,23856.671932930873,4.064702347412993
"((1, 1, 0), (2, 1, 1, 7))",30237.829100379222,23856.684269143043,4.064703829420079
"((4, 2, 0), (2, 1, 1, 7))",30237.832623958286,23856.692293650285,4.064704793441809
"((5, 2, 0), (1, 0, 1, 7))",30237.969299434346,23857.003443348647,4.064742173315928
"((10, 2, 0), (0, 1, 2, 7))",30238.017550486493,23857.113237826597,4.0647553634420515
"((1, 0, 1), (3, 0, 1, 7))",30238.055127697786,23857.198725431877,4.064765633469439
"((5, 1, 12), (3, 0, 0, 7))",30238.139671059165,23857.391000457417,4.064788732370992
"((2, 2, 1), (5, 0, 1, 7))",30238.145671585546,23857.404644167586,4.064790371453953
"((1, 0, 1), (2, 0, 2, 7))",30238.17881567999,23857.479998110404,4.064799424076892
"((10, 2, 6), (0, 0, 0, 0))",30238.33115573363,23857.82618358226,4.064841012962973
"((10, 2, 6), (0, 0, 0, 7))",30238.33115573363,23857.82618358226,4.064841012962973
"((0, 2, 1), (4, 1, 0, 7))",30238.344272102662,23857.855977356365,4.06484459222894
"((2, 0, 4), (4, 0, 1, 7))",30238.355445297755,23857.881355651956,4.064847641042741
"((4, 1, 6), (4, 0, 1, 7))",30238.35969702254,23857.891012450735,4.064848801159317
"((4, 1, 11), (2, 1, 0, 7))",30238.37384141115,23857.923136620007,4.064852660386594
"((7, 2, 3), (0, 0, 1, 7))",30238.431363753738,23858.053755267887,4.064868352218022
"((9, 1, 8), (0, 1, 0, 7))",30238.440175182848,23858.0737604159,4.064870755530378
"((4, 1, 4), (5, 0, 1, 7))",30238.501001786546,23858.21183450062,4.064887343018436
"((6, 2, 6), (2, 1, 1, 7))",30238.526673930635,23858.270096497345,4.064894342305644
"((1, 0, 1), (2, 0, 1, 7))",30238.575500464874,23858.380885591592,4.064907651919692
"((4, 1, 9), (3, 0, 0, 7))",30238.58173724176,23858.395035077057,4.064909351763813
"((3, 0, 4), (4, 0, 1, 7))",30238.5888497539,23858.411170812105,4.064911290225422
"((3, 1, 8), (3, 1, 0, 7))",30238.72069274625,23858.710169849546,4.064947210383596
"((5, 2, 4), (1, 0, 0, 7))",30238.76115996715,23858.801903040054,4.064958230722461
"((1, 0, 2), (2, 0, 0, 7))",30238.780805321894,23858.846429368736,4.064963579879378
"((0, 2, 12), (3, 1, 0, 7))",30238.783251968354,23858.851974399255,4.064964246029928
"((2, 1, 9), (0, 1, 0, 7))",30238.793613064285,23858.87545581824,4.064967066963035
"((5, 2, 9), (2, 0, 0, 7))",30238.828034738304,23858.953457040363,4.064976437616067
"((6, 2, 4), (4, 1, 0, 7))",30238.850802712084,23859.005042933702,4.0649826348716305
"((5, 1, 8), (1, 0, 0, 7))",30238.904782671587,23859.12732276239,4.064997324921558
"((2, 0, 6), (3, 0, 1, 7))",30238.94079838289,23859.208889941143,4.0650071239697
"((2, 1, 11), (3, 1, 0, 7))",30238.945548295014,23859.219646274894,4.065008416178576
"((5, 1, 5), (1, 1, 0, 7))",30239.000460213556,23859.34397739418,4.065023352659672
"((4, 1, 4), (1, 0, 2, 7))",30239.017638001438,23859.382864119485,4.065028024304557
"((2, 1, 12), (1, 1, 0, 7))",30239.01916171158,23859.386313300485,4.065028438670864
"((2, 0, 3), (4, 0, 2, 7))",30239.08360234771,23859.532161514857,4.065045960101617
"((5, 1, 9), (5, 0, 0, 7))",30239.15045829669,23859.683426167714,4.065064132234555
"((5, 2, 1), (0, 1, 0, 7))",30239.172340685953,23859.73292499714,4.065070078761333
"((2, 2, 7), (0, 1, 0, 7))",30239.17894766056,23859.747869161267,4.065071874073933
"((6, 0, 2), (5, 0, 0, 7))",30239.219462441884,23859.839497729754,4.065082881844063
"((1, 0, 0), (2, 0, 1, 7))",30239.323403550567,23860.074486268302,4.065111112120475
"((6, 0, 6), (3, 1, 1, 7))",30239.351916097916,23860.13892552134,4.0651188535104845
"((3, 0, 6), (5, 1, 2, 7))",30239.362455134098,23860.162741733297,4.065121714663845
"((1, 1, 0), (1, 1, 2, 7))",30239.369342874852,23860.178306031314,4.06512358447604
"((4, 2, 3), (5, 0, 2, 7))",30239.42975563049,23860.31479823914,4.0651399819258005
"((1, 2, 10), (2, 0, 0, 7))",30239.438555393073,23860.334676325027,4.065142369973586
"((6, 1, 3), (5, 0, 2, 7))",30239.4435193735,23860.34588924279,4.065143717034043
"((4, 1, 12), (5, 0, 0, 7))",30239.476147510253,23860.419584545034,4.065152570396701
"((10, 0, 1), (0, 1, 1, 7))",30239.514019056143,23860.50510767863,4.0651628446922725
"((6, 1, 3), (1, 0, 2, 7))",30239.55283302451,23860.592742143588,4.065173372631993
"((4, 1, 9), (5, 1, 0, 7))",30239.585130373394,23860.665650313604,4.065182131432763
"((1, 2, 2), (0, 0, 2, 7))",30239.703381981715,23860.93249113548,4.065214188273518
"((4, 0, 6), (1, 0, 1, 7))",30239.71131420811,23860.95038494571,4.065216337940953
"((3, 2, 0), (5, 1, 0, 7))",30239.767135508362,23861.076288577326,4.065231463335339
"((4, 2, 6), (2, 1, 1, 7))",30239.812232670465,23861.177978443564,4.065243679816407
"((3, 1, 5), (2, 0, 1, 7))",30239.87086679977,23861.310158550063,4.065259559233189
"((6, 2, 1), (0, 0, 1, 7))",30239.952764868445,23861.494718087564,4.065281731236939
"((0, 2, 4), (1, 0, 0, 7))",30239.9999762782,23861.601075930714,4.06529450850399
"((9, 0, 1), (0, 1, 1, 7))",30240.0401887735,23861.691646822364,4.065305389210435
"((2, 0, 2), (2, 0, 1, 7))",30240.058276811276,23861.7323807034,4.065310282762811
"((3, 0, 0), (1, 1, 2, 7))",30240.150059867316,23861.939017493634,4.0653351070105845
"((3, 0, 0), (2, 1, 1, 7))",30240.15301664718,23861.94567269762,4.065335906531486
"((0, 2, 3), (0, 0, 1, 7))",30240.281877226073,23862.23562036009,4.065370739305489
"((1, 0, 0), (3, 0, 2, 7))",30240.30761990546,23862.29352132692,4.06537769522048
"((5, 2, 3), (2, 0, 0, 7))",30240.350535178768,23862.390030730858,4.065389289348288
"((4, 2, 9), (3, 1, 0, 7))",30240.447550915775,23862.60812716221,4.065415490296554
"((5, 2, 3), (0, 1, 0, 7))",30240.483005137143,23862.687803817447,4.065425062227232
"((6, 1, 4), (5, 0, 0, 7))",30240.504434989336,23862.735956539942,4.065430847039862
"((2, 1, 8), (3, 1, 0, 7))",30240.58954094237,23862.927138337833,4.065453814606846
"((5, 2, 11), (2, 1, 0, 7))",30240.66429691606,23863.095003253937,4.065473981007346
"((7, 2, 1), (0, 0, 1, 7))",30240.672070815337,23863.112456005376,4.065476077688317
"((1, 2, 12), (0, 0, 0, 7))",30240.73946373434,23863.2637278872,4.065494250689706
"((1, 2, 12), (0, 0, 0, 0))",30240.73946373434,23863.2637278872,4.065494250689706
"((2, 1, 4), (5, 0, 1, 7))",30240.73973235971,23863.26433074936,4.065494323114368
"((4, 1, 11), (1, 1, 0, 7))",30240.773749728676,23863.34066769323,4.065503493829838
"((2, 1, 0), (5, 0, 0, 7))",30240.77657533777,23863.347007943892,4.065504255513917
"((6, 1, 9), (5, 0, 0, 7))",30240.82188755368,23863.44866974343,4.0655164686232
"((2, 0, 2), (5, 1, 2, 7))",30240.85201417806,23863.51624873681,4.06552458720496
"((1, 2, 12), (2, 1, 0, 7))",30240.8912805351,23863.6043145098,4.06553516695974
"((4, 2, 8), (3, 1, 0, 7))",30240.89642954185,23863.61586132451,4.065536554132803
"((2, 0, 6), (3, 0, 2, 7))",30240.98784062696,23863.82080462391,4.065561174933573
"((4, 1, 9), (5, 0, 0, 7))",30241.01378194799,23863.878948067177,4.0655681599783975
"((6, 0, 9), (0, 1, 0, 7))",30241.02628044849,23863.906958850348,4.06557152504529
"((4, 2, 7), (3, 1, 0, 7))",30241.04453730882,23863.94787176126,4.065576440105366
"((4, 1, 4), (1, 0, 1, 7))",30241.045770930406,23863.950636125744,4.0655767722014495
"((0, 0, 11), (2, 0, 0, 7))",30241.058818284655,23863.979872293996,4.065580284479607
"((6, 1, 4), (5, 0, 1, 7))",30241.14869386449,23864.181211873973,4.065604472348642
"((2, 1, 8), (4, 1, 0, 7))",30241.208004108124,23864.314029895282,4.065620428401125
"((5, 1, 6), (5, 0, 2, 7))",30241.21697481569,23864.334115306778,4.06562284135591
"((3, 1, 6), (3, 0, 1, 7))",30241.217661231243,23864.33565215433,4.065623025984622
"((1, 0, 5), (2, 0, 2, 7))",30241.22836415322,23864.3596147477,4.065625904723468
"((2, 2, 2), (1, 1, 0, 7))",30241.2992266474,23864.518235654912,4.065644960597781
"((4, 1, 9), (4, 0, 0, 7))",30241.343585046023,23864.617500701137,4.065656885773834
"((6, 1, 5), (3, 0, 1, 7))",30241.49702922943,23864.96071003985,4.06569811712307
"((6, 1, 5), (1, 0, 2, 7))",30241.511567071295,23864.99321344234,4.065702021909414
"((9, 1, 3), (0, 1, 0, 7))",30241.523177874522,23865.0191709615,4.0657051403080615
"((2, 2, 10), (1, 1, 0, 7))",30241.525574770294,23865.024529360966,4.065705784037747
"((3, 1, 10), (5, 1, 0, 7))",30241.610242195453,23865.21376773767,4.065728518132419
"((3, 0, 0), (1, 1, 1, 7))",30241.65617266683,23865.316392981626,4.065740846984803
"((4, 1, 4), (2, 0, 1, 7))",30241.665774423724,23865.33784384071,4.065743423977217
"((2, 1, 4), (5, 0, 2, 7))",30241.676969176886,23865.362852263203,4.065746428356425
"((6, 2, 4), (2, 0, 0, 7))",30241.682300371,23865.37476135452,4.06574785905148
"((4, 1, 4), (3, 0, 1, 7))",30241.743661306966,23865.511810051703,4.0657643233549186
"((3, 1, 1), (0, 0, 0, 7))",30241.853368931028,23865.756737375414,4.065793747624255
"((3, 1, 1), (0, 0, 0, 0))",30241.853368931028,23865.756737375414,4.065793747624255
"((6, 1, 4), (4, 1, 0, 7))",30241.8534060259,23865.756820169114,4.06579375757065
"((2, 1, 6), (5, 0, 0, 7))",30241.865693482814,23865.784244262188,4.065797052155708
"((10, 0, 3), (0, 1, 1, 7))",30241.883780530883,23865.824609320774,4.065801901399711
"((5, 1, 0), (0, 1, 0, 7))",30241.91936775691,23865.904019255773,4.065811441288034
"((1, 0, 0), (1, 0, 2, 7))",30241.983157296883,23866.046325621683,4.065828537219902
"((2, 2, 9), (3, 0, 0, 7))",30242.023709956964,23866.136770321125,4.065839402766285
"((1, 0, 5), (3, 0, 1, 7))",30242.053565263603,23866.20334519987,4.065847400719039
"((6, 2, 0), (1, 0, 0, 7))",30242.073006061146,23866.24669134519,4.065852608094988
"((3, 0, 11), (3, 1, 0, 7))",30242.22692612628,23866.58973338881,4.065893819346276
"((1, 2, 1), (2, 1, 1, 7))",30242.238318450225,23866.615113223477,4.065896868344974
"((5, 2, 6), (5, 1, 1, 7))",30242.251743278317,23866.645019258947,4.065900461097424
"((4, 2, 3), (4, 0, 1, 7))",30242.305103986873,23866.763869701255,4.065914739159064
"((1, 0, 5), (2, 0, 1, 7))",30242.322886282924,23866.803469369504,4.065919496453133
"((2, 1, 5), (3, 0, 0, 7))",30242.54865033819,23867.3059280032,4.065979859167852
"((1, 2, 10), (1, 1, 0, 7))",30242.60288783724,23867.426556126764,4.065994350790687
"((9, 2, 0), (0, 1, 2, 7))",30242.636081460347,23867.500365422642,4.066003217847937
"((3, 1, 4), (5, 0, 2, 7))",30242.82195148788,23867.91344544792,4.066052843090793
"((4, 2, 5), (2, 0, 0, 7))",30242.851720159153,23867.97956904756,4.066060786829269
"((0, 1, 2), (0, 0, 0, 7))",30242.952069644278,23868.202399677302,4.066087556519014
"((0, 1, 2), (0, 0, 0, 0))",30242.952069644278,23868.202399677302,4.066087556519014
"((5, 0, 2), (0, 0, 0, 7))",30242.95748958562,23868.214431814118,4.066089001996101
"((5, 0, 2), (0, 0, 0, 0))",30242.95748958562,23868.214431814118,4.066089001996101
"((4, 2, 3), (5, 1, 0, 7))",30242.968665972552,23868.23924211928,4.066091982574545
"((6, 2, 3), (2, 0, 0, 7))",30243.03115940199,23868.377945607714,4.0661086456758255
"((3, 1, 11), (5, 1, 0, 7))",30243.033415513717,23868.38295223651,4.066109247145649
"((4, 2, 0), (1, 1, 1, 7))",30243.136157568573,23868.610893239802,4.066136630768562
"((6, 2, 6), (0, 0, 2, 7))",30243.14978191013,23868.641111343935,4.066140261011286
"((1, 1, 0), (1, 1, 1, 7))",30243.321176249076,23869.021085070035,4.066185909038987
"((6, 2, 7), (3, 0, 0, 7))",30243.424372006255,23869.249713575133,4.06621337525472
"((4, 2, 3), (4, 1, 0, 7))",30243.469892056775,23869.35052625328,4.066225486355064
"((2, 2, 0), (4, 1, 0, 7))",30243.56914664228,23869.570267278086,4.066251884876062
"((4, 1, 11), (5, 0, 0, 7))",30243.57326103875,23869.579373921446,4.066252978899885
"((5, 2, 4), (0, 0, 2, 7))",30243.60628251539,23869.652455810472,4.0662617585703345
"((8, 0, 4), (0, 1, 1, 7))",30243.616890513047,23869.675930560472,4.066264578702266
"((5, 0, 9), (4, 1, 0, 7))",30243.64943746622,23869.747947173924,4.066273230396159
"((10, 1, 6), (0, 1, 2, 7))",30243.673400735854,23869.800963453523,4.06627959949074
"((4, 2, 3), (4, 0, 2, 7))",30243.72337766658,23869.911512587856,4.0662928802772775
"((1, 0, 1), (3, 0, 2, 7))",30243.726415788846,23869.91823206564,4.066293687519693
"((6, 1, 8), (0, 0, 0, 7))",30243.779147604055,23870.0348444422,4.066307696711986
"((6, 1, 8), (0, 0, 0, 0))",30243.779147604055,23870.0348444422,4.066307696711986
"((9, 0, 9), (0, 0, 0, 7))",30243.799446279303,23870.079725514715,4.066313088485944
"((9, 0, 9), (0, 0, 0, 0))",30243.799446279303,23870.079725514715,4.066313088485944
"((5, 1, 3), (4, 0, 2, 7))",30243.87264253005,23870.241528532195,4.066332526642103
"((6, 0, 5), (0, 0, 2, 7))",30243.874565226302,23870.245777954984,4.066333037145213
"((3, 0, 11), (4, 1, 0, 7))",30243.924711980904,23870.356595287765,4.066346350151691
"((5, 1, 9), (0, 0, 0, 7))",30244.15486560298,23870.86486017461,4.066407410398861
"((5, 1, 9), (0, 0, 0, 0))",30244.15486560298,23870.86486017461,4.066407410398861
"((3, 2, 9), (1, 0, 0, 7))",30244.164787436,23870.88675864701,4.066410041165165
"((3, 1, 10), (3, 1, 0, 7))",30244.19155201667,23870.945825539668,4.066417137148299
"((4, 1, 12), (3, 0, 0, 7))",30244.19833838752,23870.96080121152,4.0664189362460705
"((8, 2, 5), (0, 0, 2, 7))",30244.262740177783,23871.102894160398,4.066436006539147
"((2, 1, 6), (0, 1, 0, 7))",30244.265469568858,23871.10891518572,4.066436729873189
"((3, 0, 7), (5, 0, 0, 7))",30244.326710164823,23871.243990975556,4.066452957162005
"((1, 2, 1), (1, 1, 2, 7))",30244.538019849693,23871.70976375805,4.066508912633179
"((4, 1, 7), (2, 0, 0, 7))",30244.58548962907,23871.814332787693,4.066521475001663
"((1, 1, 0), (5, 1, 1, 7))",30244.702276490254,23872.071496348657,4.06655236926763
"((9, 1, 12), (0, 1, 0, 7))",30244.82246377556,23872.33599796019,4.066584145088064
"((6, 1, 3), (2, 0, 1, 7))",30245.093776344704,23872.932531087914,4.066655809413433
"((5, 0, 10), (5, 0, 0, 7))",30245.09451950669,23872.934164015445,4.066656005584683
"((5, 1, 0), (1, 0, 0, 7))",30245.187495333226,23873.138411500957,4.066680542794064
"((4, 2, 11), (5, 0, 0, 7))",30245.187959694023,23873.139431373216,4.066680665316107
"((6, 1, 10), (5, 0, 0, 7))",30245.189721861298,23873.143301587956,4.066681130263174
"((3, 0, 1), (0, 1, 0, 7))",30245.203894227354,23873.174426909918,4.066684869494234
"((3, 1, 7), (3, 1, 0, 7))",30245.269828305347,23873.319203653715,4.066702262204198
"((2, 2, 1), (5, 0, 0, 7))",30245.303288920037,23873.392658473418,4.06671108667656
"((3, 1, 7), (4, 1, 0, 7))",30245.338193374795,23873.469270470086,4.0667202904354145
"((5, 1, 12), (0, 1, 0, 7))",30245.33844207506,23873.469816298264,4.066720356008316
"((3, 1, 7), (0, 1, 0, 7))",30245.429378035256,23873.669352380537,4.066744327214707
"((9, 0, 3), (0, 1, 1, 7))",30245.447515360338,23873.709139886112,4.066749107074553
"((4, 1, 7), (3, 0, 0, 7))",30245.49911698118,23873.822318677223,4.066762703774107
"((3, 0, 0), (2, 1, 2, 7))",30245.52170184902,23873.871845781556,4.0667686536976815
"((5, 2, 6), (1, 0, 2, 7))",30245.536995726605,23873.905381223536,4.066772682467776
"((5, 0, 0), (3, 0, 1, 7))",30245.578812830536,23873.997062711544,4.066783696595376
"((7, 1, 1), (0, 0, 1, 7))",30245.58741607217,23874.015922550825,4.066785962316417
"((4, 1, 7), (5, 1, 0, 7))",30245.62788822311,23874.104634417377,4.066796619689449
"((2, 0, 2), (2, 0, 2, 7))",30245.631531004427,23874.112618282656,4.0667975788286705
"((4, 1, 6), (4, 0, 0, 7))",30245.661031916476,23874.1772702126,4.066805345768556
"((1, 0, 4), (2, 0, 2, 7))",30245.76460734298,23874.404186742064,4.066832606316618
"((4, 0, 6), (2, 0, 2, 7))",30245.77257349511,23874.421634655842,4.066834702416418
"((6, 1, 6), (2, 1, 2, 7))",30245.802022815424,23874.486130510224,4.066842450606215
"((10, 2, 10), (0, 1, 0, 7))",30245.851047852757,23874.59347851319,4.066855346825813
"((4, 0, 1), (0, 0, 0, 7))",30245.86934901134,23874.63354539887,4.066860160248904
"((4, 0, 1), (0, 0, 0, 0))",30245.86934901134,23874.63354539887,4.066860160248904
"((5, 1, 3), (0, 0, 0, 7))",30245.936641742825,23874.780840205633,4.066877855465592
"((5, 1, 3), (0, 0, 0, 0))",30245.936641742825,23874.780840205633,4.066877855465592
"((5, 2, 12), (1, 1, 0, 7))",30245.952609486507,23874.81578460029,4.066882053499787
"((4, 0, 1), (3, 0, 2, 7))",30245.98583181032,23874.888481115944,4.0668907868735245
"((1, 0, 4), (3, 0, 1, 7))",30246.024443469836,23874.972956175086,4.0669009352589915
"((5, 2, 7), (1, 0, 0, 7))",30246.197322935037,23875.35099558547,4.066946350908263
"((6, 1, 5), (5, 0, 1, 7))",30246.214293528512,23875.38808898062,4.066950807111977
"((6, 2, 2), (0, 1, 0, 7))",30246.252732993864,23875.472096910988,4.066960899379071
"((6, 2, 7), (5, 1, 0, 7))",30246.261591432263,23875.491454524035,4.06696322490001
"((1, 1, 12), (5, 1, 0, 7))",30246.27545029452,23875.521737532184,4.066966862939959
"((4, 0, 6), (5, 1, 0, 7))",30246.297090510285,23875.569019634022,4.066972543160842
"((2, 2, 2), (2, 1, 1, 7))",30246.30753510065,23875.59183848867,4.066975284496987
"((4, 0, 6), (1, 1, 2, 7))",30246.320999420863,23875.621253055444,4.066978818206994
"((1, 0, 4), (2, 0, 0, 7))",30246.433214016884,23875.86632812945,4.0670082602262685
"((4, 1, 6), (1, 0, 2, 7))",30246.440411346834,23875.88204258751,4.0670101480778955
"((2, 0, 1), (0, 1, 0, 7))",30246.66756765912,23876.37773704622,4.067069698180514
"((4, 2, 6), (3, 1, 1, 7))",30246.73296430715,23876.52034605147,4.067086830469869
"((2, 1, 0), (5, 1, 0, 7))",30246.73458873889,23876.5238878575,4.067087255963655
"((6, 0, 6), (5, 1, 1, 7))",30246.744941767098,23876.546460298505,4.067089967696971
"((6, 1, 10), (2, 1, 0, 7))",30246.752291140703,23876.562483284706,4.067091892613531
"((6, 1, 3), (3, 0, 0, 7))",30246.761267619706,23876.58205291213,4.067094243604754
"((6, 0, 7), (5, 1, 0, 7))",30246.769617514565,23876.60025578492,4.067096430401325
"((4, 1, 11), (0, 1, 0, 7))",30246.774833747088,23876.611626874525,4.067097796463706
"((8, 0, 2), (0, 1, 1, 7))",30246.814801841396,23876.69874583119,4.0671082624729955
"((5, 1, 6), (2, 0, 1, 7))",30246.83956098011,23876.75270546536,4.06711474489719
"((1, 2, 1), (5, 1, 1, 7))",30246.91587126239,23876.91897546244,4.06713471969258
"((10, 0, 2), (0, 1, 1, 7))",30246.94316936038,23876.978439999595,4.067141863446617
"((5, 1, 4), (5, 0, 2, 7))",30247.105864078705,23877.33268719435,4.0671844208253205
"((4, 0, 5), (4, 0, 1, 7))",30247.194210552316,23877.52493782923,4.067207516796708
"((6, 1, 6), (1, 0, 1, 7))",30247.196633922737,23877.53021020619,4.067208150192107
"((6, 2, 1), (1, 0, 2, 7))",30247.20726111818,23877.553330434006,4.067210927733624
"((5, 0, 0), (2, 0, 1, 7))",30247.23793046912,23877.62004739118,4.067218942754927
"((2, 2, 12), (0, 0, 0, 0))",30247.306260452744,23877.76865560089,4.067236795756878
"((2, 2, 12), (0, 0, 0, 7))",30247.306260452744,23877.76865560089,4.067236795756878
"((10, 1, 8), (0, 1, 0, 7))",30247.307048923692,23877.770370139515,4.067237001732452
